matrix,implementation,rows,cols,nnz,avg_nnz_per_row,long_rows,warmup_runs,measured_runs,mean_ms,stddev_ms,min_ms,gflops,effective_bandwidth_gb_s
consph,cpu,83334,83334,6010480,72.1251829985,0,10,100,5.53239354,0.0935593210859,5.356676,2.17283168905,13.2177451715
consph,simple,83334,83334,6010480,72.1251829985,0,10,100,0.153456642479,0.00114620618946,0.150527998805,78.3345693339,476.523966762
consph,adaptive,83334,83334,6010480,72.1251829985,0,10,100,0.165836800933,0.00124672768423,0.163839995861,72.4866852977,442.960208993
consph,cusparse,83334,83334,6010480,72.1251829985,0,10,100,0.0893849604577,0.000489148382581,0.0880640000105,134.485263947,818.099237563
