matrix,implementation,rows,cols,nnz,avg_nnz_per_row,long_rows,warmup_runs,measured_runs,mean_ms,stddev_ms,min_ms,gflops,effective_bandwidth_gb_s
pwtk,cpu,217918,217918,11634424,53.3889995319,0,10,100,9.88918527,0.131695641594,9.590001,2.35295905221,14.3821862081
pwtk,simple,217918,217918,11634424,53.3889995319,0,10,100,0.29026303798,0.00220931513067,0.285695999861,80.1646953121,489.9972969
pwtk,adaptive,217918,217918,11634424,53.3889995319,0,10,100,0.311224319637,0.00296945640475,0.305151998997,74.765519697,459.796252963
pwtk,cusparse,217918,217918,11634424,53.3889995319,0,10,100,0.15645695895,0.000510345220282,0.155647993088,148.723637199,909.055787323
